"n","max_key","number_of_run","total_time","average_time","average_time_insert","average_time_search","average_time_delete","total_time_insert","total_time_search","total_time_delete","Ologn"
100000,10000,1,30.504000,30.504000,14.833000,10.475000,5.196000,14.833000,10.475000,5.196000,5.000000
200000,10000,1,54.794000,54.794000,20.634000,19.560000,14.600000,20.634000,19.560000,14.600000,5.301030
300000,10000,1,93.013000,93.013000,33.406000,32.095000,27.512000,33.406000,32.095000,27.512000,5.477121
400000,10000,1,124.411000,124.411000,44.143000,44.308000,35.960000,44.143000,44.308000,35.960000,5.602060
500000,10000,1,148.699000,148.699000,52.000000,53.684000,43.015000,52.000000,53.684000,43.015000,5.698970
600000,10000,1,187.906000,187.906000,65.824000,70.765000,51.317000,65.824000,70.765000,51.317000,5.778151
700000,10000,1,208.682000,208.682000,74.496000,73.002000,61.184000,74.496000,73.002000,61.184000,5.845098
800000,10000,1,231.431000,231.431000,82.354000,80.967000,68.110000,82.354000,80.967000,68.110000,5.903090
900000,10000,1,264.789000,264.789000,94.337000,91.993000,78.459000,94.337000,91.993000,78.459000,5.954243
1000000,10000,1,292.008000,292.008000,104.826000,101.920000,85.262000,104.826000,101.920000,85.262000,6.000000
1100000,10000,1,347.432000,347.432000,114.371000,122.380000,110.681000,114.371000,122.380000,110.681000,6.041393
1200000,10000,1,395.895000,395.895000,132.934000,137.151000,125.810000,132.934000,137.151000,125.810000,6.079181
1300000,10000,1,448.422000,448.422000,150.790000,156.177000,141.455000,150.790000,156.177000,141.455000,6.113944
1400000,10000,1,503.550000,503.550000,166.619000,187.879000,149.052000,166.619000,187.879000,149.052000,6.146128
1500000,10000,1,492.904000,492.904000,170.028000,178.441000,144.435000,170.028000,178.441000,144.435000,6.176091
1600000,10000,1,532.782000,532.782000,186.197000,193.626000,152.959000,186.197000,193.626000,152.959000,6.204120
1700000,10000,1,579.112000,579.112000,203.583000,210.625000,164.904000,203.583000,210.625000,164.904000,6.230449
1800000,10000,1,598.824000,598.824000,212.026000,217.046000,169.752000,212.026000,217.046000,169.752000,6.255272
1900000,10000,1,616.534000,616.534000,219.301000,225.462000,171.771000,219.301000,225.462000,171.771000,6.278754
2000000,10000,1,675.247000,675.247000,241.475000,250.111000,183.661000,241.475000,250.111000,183.661000,6.301030
2100000,10000,1,704.675000,704.675000,252.407000,260.583000,191.685000,252.407000,260.583000,191.685000,6.322219
2200000,10000,1,725.552000,725.552000,259.784000,268.475000,197.293000,259.784000,268.475000,197.293000,6.342422
2300000,10000,1,767.080000,767.080000,276.026000,285.192000,205.862000,276.026000,285.192000,205.862000,6.361728
2400000,10000,1,775.956000,775.956000,282.248000,290.124000,203.584000,282.248000,290.124000,203.584000,6.380211
2500000,10000,1,854.898000,854.898000,313.927000,315.824000,225.147000,313.927000,315.824000,225.147000,6.397940
2600000,10000,1,844.543000,844.543000,303.754000,315.810000,224.979000,303.754000,315.810000,224.979000,6.414973
2700000,10000,1,894.805000,894.805000,327.855000,335.784000,231.166000,327.855000,335.784000,231.166000,6.431364
2800000,10000,1,900.588000,900.588000,328.746000,337.667000,234.175000,328.746000,337.667000,234.175000,6.447158
2900000,10000,1,923.018000,923.018000,338.220000,345.188000,239.610000,338.220000,345.188000,239.610000,6.462398
3000000,10000,1,975.046000,975.046000,359.331000,364.986000,250.729000,359.331000,364.986000,250.729000,6.477121
3100000,10000,1,973.425000,973.425000,355.882000,367.152000,250.391000,355.882000,367.152000,250.391000,6.491362
3200000,10000,1,1005.573000,1005.573000,371.796000,381.723000,252.054000,371.796000,381.723000,252.054000,6.505150
3300000,10000,1,1075.208000,1075.208000,395.790000,405.542000,273.876000,395.790000,405.542000,273.876000,6.518514
3400000,10000,1,1076.751000,1076.751000,396.113000,404.819000,275.819000,396.113000,404.819000,275.819000,6.531479
3500000,10000,1,1087.381000,1087.381000,403.356000,409.787000,274.238000,403.356000,409.787000,274.238000,6.544068
3600000,10000,1,1166.292000,1166.292000,438.526000,443.722000,284.044000,438.526000,443.722000,284.044000,6.556303
3700000,10000,1,1182.085000,1182.085000,438.902000,447.179000,296.004000,438.902000,447.179000,296.004000,6.568202
3800000,10000,1,1205.131000,1205.131000,447.168000,456.339000,301.624000,447.168000,456.339000,301.624000,6.579783
3900000,10000,1,1259.566000,1259.566000,468.936000,476.778000,313.852000,468.936000,476.778000,313.852000,6.591064
4000000,10000,1,1263.295000,1263.295000,475.498000,481.965000,305.832000,475.498000,481.965000,305.832000,6.602060
4100000,10000,1,1370.401000,1370.401000,509.867000,513.310000,347.224000,509.867000,513.310000,347.224000,6.612784
4200000,10000,1,1479.490000,1479.490000,517.717000,539.990000,421.783000,517.717000,539.990000,421.783000,6.623249
10000000,10000,1,2225.249000,2225.249000,925.426000,908.360000,391.463000,925.426000,908.360000,391.463000,7.000000
20000000,10000,1,3604.618000,3604.618000,1534.551000,1504.106000,565.961000,1534.551000,1504.106000,565.961000,7.301030
30000000,10000,1,5571.028000,5571.028000,2441.330000,2288.602000,841.096000,2441.330000,2288.602000,841.096000,7.477121
40000000,10000,1,7312.222000,7312.222000,3123.985000,3012.126000,1176.111000,3123.985000,3012.126000,1176.111000,7.602060
50000000,10000,1,9324.138000,9324.138000,4078.151000,3856.278000,1389.709000,4078.151000,3856.278000,1389.709000,7.698970
60000000,10000,1,10725.211000,10725.211000,4618.330000,4424.694000,1682.187000,4618.330000,4424.694000,1682.187000,7.778152
70000000,10000,1,12741.839000,12741.839000,5476.216000,5301.840000,1963.783000,5476.216000,5301.840000,1963.783000,7.845098
80000000,10000,1,14483.225000,14483.225000,6186.350000,6016.621000,2280.254000,6186.350000,6016.621000,2280.254000,7.903090
90000000,10000,1,16062.383000,16062.383000,6959.642000,6622.410000,2480.331000,6959.642000,6622.410000,2480.331000,7.954243
100000000,10000,1,18015.519000,18015.519000,7632.387000,7461.937000,2921.195000,7632.387000,7461.937000,2921.195000,8.000000
